milestone_id,cycle,artifact,artifact_type,claim_supported,evidence_level,exists,notes
M4-formal-certification,12,reports/formal_certification/labelled_embedding_expectation_identity.md,report,Formal certification report,certified,yes,Canonical M4 report.
M5-extension-candidates,13,scripts/score_m5_extension_candidates.py,script,Extension candidate scoring,conjectural,yes,Ranked candidate selection.
M5-extension-candidates,13,data/extension_candidates/m5_candidate_scores.csv,data,Extension candidate matrix,conjectural,yes,C1 Markov/interpolation selected.
M5-extension-candidates,13,reports/extension_candidates/m5_extension_candidate_ranking.md,report,Extension candidate ranking,conjectural,yes,Rejects direct WP/full trace routes.
M5-extension-candidates,14,scripts/compare_expansions_to_cycle9.py,script,Fixed-template expansion comparison,proved_toy,yes,Compares exact expansions to Cycle 9 fits.
M5-extension-candidates,14,data/extension_candidates/labelled_embedding_expansion_coefficients.csv,data,Fixed-template expansion coefficients,proved_toy,yes,Exact finite toy expansions.
M5-extension-candidates,14,reports/extension_candidates/m5_falling_factorial_expansion_test.md,report,Fixed-template expansion test,proved_toy,yes,Canonical Cycle 14 report.
M5-extension-candidates,15,scripts/plot_growing_template_expansions.py,script,Growing-template expansion generator,proved_toy,yes,Python generator used for canonical final validation.
M5-extension-candidates,15,data/extension_candidates/growing_template_expansion_summary.csv,data,Growing-template expansion summary,proved_toy,yes,L <= 40 exact coefficients through order 8.
M5-extension-candidates,15,reports/extension_candidates/m5_growing_template_expansion_growth.md,report,Growing-template expansion report,proved_toy,yes,Coefficient/radius mechanism.
M5-extension-candidates,16,scripts/plot_m5_extension_synthesis.py,script,M5 synthesis figure/data builder,proved_toy,yes,Builds fixed-vs-growing summary.
M5-extension-candidates,16,data/extension_candidates/m5_extension_synthesis_index.csv,data,M5 synthesis artifact index,proved_toy,yes,Zero missing dependencies.
M5-extension-candidates,16,data/extension_candidates/m5_log_coefficient_summary.csv,data,M5 log coefficient summary,proved_toy,yes,Log coefficient identity data.
M5-extension-candidates,16,reports/figures/m5_fixed_vs_growing_template_mechanism.png,figure,Fixed-vs-growing mechanism figure,proved_toy,yes,Strongest extension figure.
M5-extension-candidates,16,reports/extension_candidates/m5_extension_synthesis_and_toy_principle.md,report,M5 synthesis and toy principle,proved_toy,yes,Canonical M5 closure.
M6-final-synthesis,17,scripts/build_final_synthesis_index.py,script,Builds final artifact and claim ledgers,validated,yes,This script.
M6-final-synthesis,17,scripts/plot_final_campaign_summary.py,script,Builds final evidence and bottleneck figures,validated,yes,Companion plotting script.
M6-final-synthesis,17,data/final/final_artifact_index.csv,data,Final artifact coverage,validated,yes,Generated by this script.
M6-final-synthesis,17,data/final/final_claim_ledger.csv,data,Final claim classification,validated,yes,Generated by this script.
M6-final-synthesis,17,reports/figures/final_campaign_evidence_ladder.png,figure,Final evidence ladder,validated,yes,Generated by plot_final_campaign_summary.py.
M6-final-synthesis,17,reports/figures/final_bottleneck_map.png,figure,Final bottleneck map,validated,yes,Generated by plot_final_campaign_summary.py.
M6-final-synthesis,17,reports/final/final_report.md,report,Standalone final research record,validated,yes,Canonical final report.
M6-final-synthesis,17,reports/final/final_file_map.md,report,Human-readable file map,validated,yes,Where to start and known warnings.
M6-final-synthesis,17,audits/final/final_audit_packet.md,audit,Final validation checklist,validated,yes,Audit packet.
