artifact_path,artifact_type,milestone_id,invariant_name,expected_value,observed_value,status,notes
physicalized-weights/data/phase4_reopen_summary.json,json,M-PHASE4-SYNTH-1,new_reopen_gate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/phase4_reopen_summary.json,json,M-PHASE4-SYNTH-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/phase4_reopen_summary.json,json,M-PHASE4-SYNTH-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/target_robustness_summary.json,json,M-ROBUST-1,current_superiority_claim_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/target_robustness_summary.json,json,M-ROBUST-1,actual_reopen_candidate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/target_robustness_summary.json,json,M-ROBUST-1,new_reopen_gate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/target_robustness_summary.json,json,M-ROBUST-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/target_robustness_summary.json,json,M-ROBUST-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/campaign_deferral_watchlist_summary.json,json,M-DEFER-1,current_superiority_claim_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_deferral_watchlist_summary.json,json,M-DEFER-1,actual_reopen_candidate_count,0,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/campaign_deferral_watchlist_summary.json,json,M-DEFER-1,new_reopen_gate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_deferral_watchlist_summary.json,json,M-DEFER-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_deferral_watchlist_summary.json,json,M-DEFER-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/campaign_closure_summary.json,json,M-CLOSURE-1,current_superiority_claim_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_closure_summary.json,json,M-CLOSURE-1,actual_reopen_candidate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_closure_summary.json,json,M-CLOSURE-1,new_reopen_gate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_closure_summary.json,json,M-CLOSURE-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/campaign_closure_summary.json,json,M-CLOSURE-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/closure_archive_summary.json,json,M-ARCHIVE-1,current_superiority_claim_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/closure_archive_summary.json,json,M-ARCHIVE-1,actual_reopen_candidate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/closure_archive_summary.json,json,M-ARCHIVE-1,new_reopen_gate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/closure_archive_summary.json,json,M-ARCHIVE-1,current_artifacts_reopen,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/closure_archive_summary.json,json,M-ARCHIVE-1,performance_claim_reopened,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/toolchain_condition_summary.json,json,M-TOOLCHAIN-1,current_superiority_claim_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/toolchain_condition_summary.json,json,M-TOOLCHAIN-1,actual_reopen_candidate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/toolchain_condition_summary.json,json,M-TOOLCHAIN-1,new_reopen_gate_count,0,0,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/data/toolchain_condition_summary.json,json,M-TOOLCHAIN-1,current_artifacts_reopen,false,absent,field_absent_not_applicable,Field is not owned by this artifact.
physicalized-weights/data/toolchain_condition_summary.json,json,M-TOOLCHAIN-1,performance_claim_reopened,false,false,consistent,Endpoint field agrees with campaign invariant.
physicalized-weights/docs/campaign_closure_report.md,markdown,M-CLOSURE-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,3 warning contexts,warning_ambiguous_text,"line 19: - Phase 3 and Phase 4 built the measured evidence pathway: production trace schema, ingestion admissibility, replayable evidence packs, uncertainty durability, and lifecycle termin | line 37: The operative null was that software/runtime improvements and programmable accelerators capture the practical benefit before a fixed physical substrate can amortize substrate, upda | line 45: The architecture and prototype remain valuable as a bounded study of interfaces, fixed-policy versioning, confidence/fallback behavior, audit hooks, HDL equivalence, and closure cr"
physicalized-weights/docs/campaign_deferral_watchlist.md,markdown,M-DEFER-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,2 warning contexts,warning_ambiguous_text,line 16: - `safety_filter_performance_or_economic_winner`: falsified_under_stronger_programmable_baseline. Equal-workload stronger-baseline replay gives the hybrid zero workload wins. | line 19: - `non_safety_target_classes_current_superiority`: no_calibrated_current_superiority_claim. M-ROBUST-1 found zero calibrated physicalized wins across the broader target classes.
physicalized-weights/docs/campaign_executive_summary.md,markdown,M-CLOSURE-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,1 warning contexts,warning_ambiguous_text,"line 21: Full frontier fixed-weight physicalization is rejected under current evidence, and safety/filter performance superiority is falsified under the stronger equal-workload baseline. Sy"
physicalized-weights/docs/final_synthesis.md,markdown,M-FINAL-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,6 warning contexts,warning_ambiguous_text,"line 15: Phase 2 supersedes the performance/economic part of that narrow positive result. `M-CAL-1`, `M-WORKLOAD-1`, and especially `M-SWBASE-2` show that, under current calibrated assumpti | line 23: If request volume is zero, there is no fixed-substrate win. If update cadence approaches weekly or daily, fixed weights lose unless they are reprogrammable enough to become a progr | line 70: | Software/runtime and programmable-accelerator baselines win large regions of the sampled model space. | modeled | `data/breakeven_summary.json`, `data/breakeven_grid.csv` | | line 82: `M-SWBASE-2` is the decisive downgrade. Replaying the exact workload rows against optimized software/runtime, programmable accelerator, and hybrid physicalized safety/filter produc | line 122: Phase 4 folds `M-ACQUIRE-1`, `M-DRYRUN-1`, `M-INTAKE-1`, `M-UNCERTAINTY-1`, and `M-LIFECYCLE-1` into the canonical campaign record. The current claim state is unchanged but now una"
physicalized-weights/docs/phase2_synthesis_downgrade.md,markdown,M-SYNTH-2,controlled_text_scan,no contradictory current superiority or actual reopen prose,6 warning contexts,warning_ambiguous_text,"line 11: Under current calibrated assumptions and equal workload accounting, hybrid physicalized safety/filter wins zero workload scenarios. The stronger programmable accelerator wins nine  | line 15: Phase 2 status counts: `{""falsified"": 1, ""open"": 0, ""preserved"": 6, ""superseded"": 1, ""weakened"": 1}`. The safety/filter performance/economic claim is `falsified`; the target-rankin | line 22: | Safety/filter classifier physicalization is a performance or economic winner over strong programmable baselines. | provisionally_supported | falsified | modeled | Identical-workl | line 27: | Phase 1 safety/filter target ranking remains a sufficient reason to claim hardware superiority. | supported | superseded | modeled | A new target-ranking pass must include strong | line 33: - `M-SWBASE-2`: winner counts `{""optimized_software_runtime"": 1, ""programmable_accelerator"": 9}`; hybrid workload wins `0`."
physicalized-weights/docs/phase3_reopen_pathway_summary.md,markdown,M-PHASE3-SYNTH-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,no ambiguous warning contexts,consistent,Text scan found no unallowed ambiguous endpoint terms.
physicalized-weights/docs/phase4_reopen_lifecycle_synthesis.md,markdown,M-PHASE4-SYNTH-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,3 warning contexts,warning_ambiguous_text,"line 16: - Safety/filter performance superiority remains falsified against stronger programmable baselines. | line 31: - `phase2_performance_superiority_falsified`: Safety/filter performance and economic superiority remains falsified against the stronger programmable accelerator baseline. | line 36: - `intake_rehearsal_is_non_evidence`: Intake rehearsal proves handoff mechanics and replay delegation, but rehearsal packages are not current measured evidence."
physicalized-weights/docs/reproducibility.md,markdown,M-FINAL-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,no ambiguous warning contexts,consistent,Text scan found no unallowed ambiguous endpoint terms.
physicalized-weights/docs/target_robustness_stress_test.md,markdown,M-ROBUST-1,controlled_text_scan,no contradictory current superiority or actual reopen prose,1 warning contexts,warning_ambiguous_text,"line 23: Zero request volume, all-fallback routing, high update cadence for anti-targets, low utilization, and absent measured evidence are robust blockers. `decoder_dense_weights`, `attent"
