overlay_id,constant_id,source_threshold_id,workload_class,object_class,proxy_measurement_id,proxy_pattern,worker_count,buffer_size_bytes,measured_latency_us,measured_throughput_mb_s,measured_penalty_units,collapse_threshold,threshold_crossed,option_before,option_after_proxy,claim_effect,production_calibrated,power_source,below_noise_or_missing_power,evidence_label
DC002-overlay-DC002-RAG-C-p99,DC-002,DC002-RAG-C-p99,RAG,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,5.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-RAG-C-p99_pathological,DC-002,DC002-RAG-C-p99_pathological,RAG,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,5.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-B-p50,DC-002,DC002-batch summarization/offline inference control-B-p50,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-B-p95,DC-002,DC002-batch summarization/offline inference control-B-p95,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-B-p99,DC-002,DC002-batch summarization/offline inference control-B-p99,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-B-p99_pathological,DC-002,DC002-batch summarization/offline inference control-B-p99_pathological,batch summarization/offline inference control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-C-p50,DC-002,DC002-batch summarization/offline inference control-C-p50,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-C-p95,DC-002,DC002-batch summarization/offline inference control-C-p95,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-C-p99,DC-002,DC002-batch summarization/offline inference control-C-p99,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-batch summarization/offline inference control-C-p99_pathological,DC-002,DC002-batch summarization/offline inference control-C-p99_pathological,batch summarization/offline inference control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-B-p50,DC-002,DC002-code-agent loop-B-p50,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,31.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-B-p95,DC-002,DC002-code-agent loop-B-p95,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,31.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-B-p99,DC-002,DC002-code-agent loop-B-p99,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,31.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-B-p99_pathological,DC-002,DC002-code-agent loop-B-p99_pathological,code-agent loop,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,31.8,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-C-p50,DC-002,DC002-code-agent loop-C-p50,code-agent loop,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,18.625,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-C-p95,DC-002,DC002-code-agent loop-C-p95,code-agent loop,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,18.625,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-C-p99,DC-002,DC002-code-agent loop-C-p99,code-agent loop,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,18.625,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-code-agent loop-C-p99_pathological,DC-002,DC002-code-agent loop-C-p99_pathological,code-agent loop,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,18.625,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-B-p50,DC-002,DC002-multi-agent branch/merge-B-p50,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,50.0,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-B-p95,DC-002,DC002-multi-agent branch/merge-B-p95,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,50.0,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-B-p99,DC-002,DC002-multi-agent branch/merge-B-p99,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,50.0,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-B-p99_pathological,DC-002,DC002-multi-agent branch/merge-B-p99_pathological,multi-agent branch/merge,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,50.0,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-C-p50,DC-002,DC002-multi-agent branch/merge-C-p50,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,30.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-C-p95,DC-002,DC002-multi-agent branch/merge-C-p95,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,30.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-C-p99,DC-002,DC002-multi-agent branch/merge-C-p99,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,30.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-multi-agent branch/merge-C-p99_pathological,DC-002,DC002-multi-agent branch/merge-C-p99_pathological,multi-agent branch/merge,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,30.5,false,B_memory_object_aware_runtime,B_memory_object_aware_runtime,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-B-p50,DC-002,DC002-single-turn chat control-B-p50,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-B-p95,DC-002,DC002-single-turn chat control-B-p95,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-B-p99,DC-002,DC002-single-turn chat control-B-p99,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-B-p99_pathological,DC-002,DC002-single-turn chat control-B-p99_pathological,single-turn chat control,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-C-p50,DC-002,DC002-single-turn chat control-C-p50,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-C-p95,DC-002,DC002-single-turn chat control-C-p95,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-C-p99,DC-002,DC002-single-turn chat control-C-p99,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-single-turn chat control-C-p99_pathological,DC-002,DC002-single-turn chat control-C-p99_pathological,single-turn chat control,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,0.0,false,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,control_no_reuse_remains_option_A,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-B-p50,DC-002,DC002-verification-heavy-B-p50,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,30.6,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-B-p95,DC-002,DC002-verification-heavy-B-p95,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,30.6,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-B-p99,DC-002,DC002-verification-heavy-B-p99,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,30.6,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-B-p99_pathological,DC-002,DC002-verification-heavy-B-p99_pathological,verification-heavy,retrieved context; prefix cache; semantic cache entry; tool output,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,30.6,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-C-p50,DC-002,DC002-verification-heavy-C-p50,verification-heavy,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,0.82,,1.01737,21.125,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-C-p95,DC-002,DC002-verification-heavy-C-p95,verification-heavy,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,2.481,,1.8364,21.125,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-C-p99,DC-002,DC002-verification-heavy-C-p99,verification-heavy,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,21.125,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
DC002-overlay-DC002-verification-heavy-C-p99_pathological,DC-002,DC002-verification-heavy-C-p99_pathological,verification-heavy,branch state; verifier state; trajectory log; durable workspace,DC002-contention-4w,mixed_random_read_write,4,8388608,11.971,,1.6258,21.125,false,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,proxy_contention_does_not_cross_existing_threshold,false,unavailable,false,host_local_proxy
