artifact_path,artifact_type,producing_script,verifier,milestone,evidence_class,upstream_dependencies,production_readiness_impact,known_limitation,exists
scripts/plot_lifetime_regimes.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/lifetime_model_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/lifetime_regime_grid.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/lifetime_regime_plot.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-LIFE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/cost_model.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/memory_tiers.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/cost_assumptions.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/cost_model.wls,artifact,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_cost_sensitivity.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/cost_model_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/cost_model_scenarios.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/cost_model_sensitivity.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/cost_model_sensitivity.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-COST-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/simulator_design.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/simulate_memory_policies.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_sim_policy_results.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_workload_events.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_policy_results.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_policy_object_breakdown.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_policy_results.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/sim_object_breakdown.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SIM-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/scheduling_abstractions.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/evaluate_scheduling_abstractions.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_scheduling_abstractions.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_unit_comparison.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_regime_winners.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_failure_modes.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_abstraction_plot.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/scheduling_failure_modes.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SCHED-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/architecture_proposal.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/synthesize_architecture_package.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/plot_architecture_synthesis.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/architecture_options.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_compiler_hook_matrix.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/architecture_policy_matrix.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/architecture_failure_modes.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/research_agenda_ranked.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/architecture_option_matrix.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/runtime_hook_coverage.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-ARCH-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
memory-centric-agentic/trace_schema.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/trace_calibration_plan.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/generate_agentic_trace_v2.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/validate_agentic_trace_v2.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_agentic_trace_v2.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/agentic_trace_events_v2.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_object_lifetimes.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_reuse_intervals.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_branch_dag_metrics.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_workload_summary.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_schema_validation.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_invalid_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_lifetime_distributions.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_live_bytes_by_object.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/trace_branch_dag_metrics.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-TRACE-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/queueing_model.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/queueing_model.wls,artifact,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/simulate_queueing_overheads.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_queueing_overheads.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_reversal_thresholds.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_trace_rates.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_overhead_sweep.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_architecture_winners.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_failure_modes.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_reversal_thresholds.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_utilization_by_workload.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/queueing_architecture_winner_map.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-QUEUE-1,derived,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/compression_model.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/compression_model.wls,artifact,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/evaluate_compression_strategies.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
scripts/plot_compression_strategies.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_boundary_inequalities.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_strategy_scores.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_best_strategy_by_object.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_workload_summary.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_safety_failures.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_object_queue_interactions.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_queue_interactions.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_strategy_matrix.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_safety_vs_savings.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
data/compression_queue_relief.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-COMP-1,simulated,,never sufficient for production_ready without final production_target gates,Model-backed evidence; production calibration remains external unless stated otherwise.,true
memory-centric-agentic/runtime_prototype.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/runtime_prototype.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/plot_runtime_prototype.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_registry_snapshots.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_policy_decisions.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_workload_summary.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_ablation_results.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_failure_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/runtime_architecture_boundary.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/runtime_object_residency.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/runtime_ablation_effects.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
stale/runtime_placeholder_2026-05-11.txt,artifact,see milestone ledger event,ledger validation and downstream handoff verifier,M-PROTO-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
REFERENCES.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
memory-centric-agentic/calibration_map.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/build_calibration_map.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/plot_calibration_map.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_memory_tiers.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_workload_evidence.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_deferred_constants.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_model_mapping.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_source_quality_summary.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/calibration_tier_bandwidth_capacity.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/calibration_source_quality.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/calibration_model_sensitivity_targets.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-CALIB-1,sourced,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
memory-centric-agentic/security_provenance_model.md,narrative,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/evaluate_security_provenance.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/plot_security_provenance.py,script_or_test,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_threat_matrix.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_invalid_trace_fixtures.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_mitigation_matrix.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_risk_scores.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_special_cases.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_workload_summary.csv,data,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/security_risk_by_object.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/security_mitigation_coverage.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
data/security_architecture_tradeoff.png,figure,see milestone ledger event,ledger validation and downstream handoff verifier,M-SEC-1,validated_artifact,,never sufficient for production_ready without final production_target gates,"Figure is a rendered view of co-located CSV outputs, not independent evidence.",true
memory-centric-agentic/final_synthesis.md,narrative,scripts/synthesize_research_agenda.py; scripts/plot_synthesis.py,ledger validation and downstream handoff verifier,M-SYNTH-1,derived_synthesis,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/synthesize_research_agenda.py,script_or_test,scripts/synthesize_research_agenda.py; scripts/plot_synthesis.py,ledger validation and downstream handoff verifier,M-SYNTH-1,derived_synthesis,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
scripts/plot_synthesis.py,script_or_test,scripts/synthesize_research_agenda.py; scripts/plot_synthesis.py,ledger validation and downstream handoff verifier,M-SYNTH-1,derived_synthesis,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
data/synthesis_architecture_decision_matrix.csv,data,scripts/synthesize_research_agenda.py; scripts/plot_synthesis.py,ledger validation and downstream handoff verifier,M-SYNTH-1,derived_synthesis,,never sufficient for production_ready without final production_target gates,No independent production endorsement implied by this artifact.,true
