deferred_constant,experiment_id,claim_id,update_type,update_condition,non_update_condition,evidence_status,scope_note
DC-004,CDR-SEM-001,CL-002,semantic_valid_hit_update,"valid-hit retained value remains positive after correctness and freshness validation","raw hit rate collapses under validation",measurement_design,semantic_cache_correctness_risk
DC-004,CDR-SEM-002,CL-006,semantic_false_positive_update,"false-positive severity remains below recompute savings at accepted match scores","wrong-reuse severity exceeds recompute avoided",measurement_design,semantic_cache_correctness_risk
DC-004,CDR-SEM-003,CL-010,trace_field_update,"source_version and invalidation_signal are sufficient to reject stale semantic hits","trace fields cannot distinguish fresh from stale cache hits",measurement_design,semantic_cache_invalidation_risk
DC-004,CDR-SEM-004,CL-009,security_gate_update,"tenant_scope and cache_salt block unsafe cross-boundary reuse while preserving useful hits","unsafe cross-boundary hits pass or safe hits vanish",measurement_design,semantic_cache_isolation_risk
DC-004,CDR-SEM-006,CL-002,poisoning_gate_update,"untrusted provenance is rejected for correctness-sensitive semantic reuse","poisoned or untrusted semantic hits pass",measurement_design,semantic_cache_poisoning_risk
DC-003,CDR-DUR-001,CL-003,durable_tail_update,"durable replay p50 p95 p99 remain below retained-value margins","p95 or p99 replay tails erase recompute savings",measurement_design,durable_replay_tail_risk
DC-003,CDR-DUR-002,CL-003,durable_fanin_update,"dependency-path replay remains tail-safe as dependency_width grows","fan-in max path latency exceeds retained-value margin",measurement_design,durable_dependency_tail_risk
DC-003,CDR-DUR-003,CL-006,pointer_recovery_update,"valid summary pointers reconstruct faster than recompute with trusted verifier evidence","pointer invalidity or reconstruction latency erases value",measurement_design,durable_pointer_recovery_risk
DC-003,CDR-DUR-004,CL-009,retention_security_update,"retention_hold_state and authorization gates forbid expired or unauthorized replay","expired or unauthorized replay is credited",measurement_design,durable_retention_risk
DC-003,CDR-DUR-005,CL-008,deferred_constant_update,"tail-injection probes identify durable replay margin for production calibration","Option C support depends only on median durable latency",measurement_design,durable_tail_injection_risk
DC-003,CDR-DUR-005,CL-010,trace_schema_update,"durable tail and pointer fields are sufficient for replay downgrade decisions","trace schema cannot express replay-tail or pointer failure",measurement_design,durable_tail_injection_risk
DC-006,EXP-PROV-MICRO-001,CL-002,provenance_object_overhead_update,"RAG provenance/freshness/isolation gates stay below object retained-value margin","safe object reuse is consistently negative after validation cost",measurement_design,provenance_validation_overhead
DC-006,EXP-PROV-REPLAY-002,CL-003,provenance_replay_overhead_update,"agentic Option C survives measured validation overhead during trace replay","validation overhead collapses C to B or A",measurement_design,provenance_trace_replay_overhead
DC-006,EXP-PROV-POINTER-007,CL-006,compression_recovery_validation_update,"pointer-preserving compression validates exact recovery cheaply","unsafe pointer accepted or validation overhead erases savings",measurement_design,provenance_pointer_recovery_overhead
DC-006,EXP-PROV-POINTER-007,CL-007,queue_help_claim_update,"measured reconstruction/metadata/provenance costs become low enough to reopen positive queue or capacity-effect analysis","provenance overhead preserves current no-queue-help conclusion",measurement_design,provenance_pointer_recovery_overhead
DC-006,EXP-PROV-MICRO-001,CL-009,security_gate_update,"all invalid provenance, freshness, isolation, authorization, verifier, retention, pointer, and lineage fixtures are rejected","any invalid fixture passes validation",measurement_design,provenance_safety_gate
DC-006,EXP-PROV-ISOLATION-003,CL-010,trace_v3_field_update,"tenant_scope and cache_salt fields enforce safe cache reuse boundaries","trace v2 fields alone cannot distinguish safe from unsafe cross-boundary reuse",measurement_design,provenance_trace_field_gap
DC-006,EXP-PROV-LINEAGE-004,CL-011,boundary_principle_update,"coarsest boundary remains valid after measured lineage and authorization overheads","fine-grained replay wins despite absent or invalid causal variables",measurement_design,provenance_lineage_overhead
