workload_class,object_id,object_class,runtime_architecture_option,expected_architecture_option,boundary_match,placement_decision,retention_decision,compression_strategy,eviction_decision,queue_overhead_context,queue_help_claim,queue_harm_case_count,object_runtime_value,trajectory_fabric_value,option_b_net_value,option_c_net_value,evidence_label
RAG,rag:KV_cache:1,KV cache,B_memory_object_aware_runtime,B_memory_object_aware_runtime,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,25,12.8,3.6,10.8,-0.4,synthetic
code-agent loop,code-agent_loop:KV_cache:1,KV cache,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:branch_state:1,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:branch_state:2,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:durable_workspace:1,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:durable_workspace:2,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:durable_workspace:3,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:prefix_cache:1,prefix cache,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:tool_output:1,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:tool_output:2,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:tool_output:3,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:trajectory_log:1,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:trajectory_log:2,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:verifier_state:1,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:verifier_state:2,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
code-agent loop,code-agent_loop:weights:1,weights,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,33.8,33.0,31.8,29.0,synthetic
multi-agent branch/merge,multi-agent_branch_merge:KV_cache:1,KV cache,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:branch_state:1,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:branch_state:2,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:branch_state:3,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:branch_state:4,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:1,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:2,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:3,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:durable_workspace:4,durable workspace,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:durable_workspace_store,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:prefix_cache:1,prefix cache,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:tool_output:1,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:tool_output:2,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:tool_output:3,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:1,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:2,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:3,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:trajectory_log:4,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:1,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:2,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:verifier_state:3,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
multi-agent branch/merge,multi-agent_branch_merge:weights:1,weights,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,33,52.0,52.8,50.0,48.8,synthetic
single-turn chat control,single-turn_chat_control:KV_cache:1,KV cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:HBM/GPU memory,retain_baseline_serving_state,keep_hot,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,18,0.0,0.0,-2.0,-4.0,synthetic
single-turn chat control,single-turn_chat_control:intermediate_scratch:1,intermediate scratch,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,18,0.0,0.0,-2.0,-4.0,synthetic
single-turn chat control,single-turn_chat_control:prefix_cache:1,prefix cache,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:CPU DRAM,retain_baseline_serving_state,keep_hot,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,18,0.0,0.0,-2.0,-4.0,synthetic
single-turn chat control,single-turn_chat_control:weights:1,weights,A_conventional_request_model_kv_serving,A_conventional_request_model_kv_serving,true,place:HBM/GPU memory,retain_baseline_serving_state,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->A_conventional_request_model_kv_serving,none_selected_positive_object_rows,18,0.0,0.0,-2.0,-4.0,synthetic
verification-heavy,verification-heavy:KV_cache:1,KV cache,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:branch_state:1,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:branch_state:2,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:branch_state:3,branch state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:tool_output:1,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:tool_output:2,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:tool_output:3,tool output,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:trajectory_log:1,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:trajectory_log:2,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:trajectory_log:3,trajectory log,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:verifier_state:1,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:verifier_state:2,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:verifier_state:3,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:verifier_state:4,verifier state,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:CPU DRAM,pin_dependency_sensitive_state,summary_plus_pointer,evict_after_trace_use,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
verification-heavy,verification-heavy:weights:1,weights,C_trajectory_dag_memory_fabric,C_trajectory_dag_memory_fabric,true,place:HBM/GPU memory,retain_reuse_candidate,lossless_compress,retain_until_trace_end,high_object->A_conventional_request_model_kv_serving; high_dag->B_memory_object_aware_runtime,none_selected_positive_object_rows,24,32.6,37.8,30.6,33.8,synthetic
