grouping,classification,dependency,role,needed_for_valid_surface_theorem,status_for_grouping
near_zero_denominator_grouping,denominator_blocked,Selberg length weight positivity,sign bookkeeping,yes,required
near_zero_denominator_grouping,denominator_blocked,transform sign values,possible sign source,yes,required
near_zero_denominator_grouping,denominator_blocked,Q_i(1/n) evaluated signs,possible sign source,yes,required
near_zero_denominator_grouping,denominator_blocked,Q_id(1/n) lower bound,denominator safety,yes,fails_or_costs_D
near_zero_denominator_grouping,denominator_blocked,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
near_zero_denominator_grouping,denominator_blocked,Schreier independent pairing,negative control only,no,not_used
schreier_pairing_analogy,toy_only,actual Corollary 3.4 summand,required_for_all,yes,missing_from_toy
schreier_pairing_analogy,toy_only,Selberg length weight positivity,sign bookkeeping,yes,missing_from_toy
schreier_pairing_analogy,toy_only,transform sign values,possible sign source,yes,missing_from_toy
schreier_pairing_analogy,toy_only,Q_i(1/n) evaluated signs,possible sign source,yes,missing_from_toy
schreier_pairing_analogy,toy_only,Q_id(1/n) lower bound,denominator safety,yes,required_and_available_in_paper_range
schreier_pairing_analogy,toy_only,coefficient expansion,collapses direct route if essential,conditional,not_required_for_direct_target
schreier_pairing_analogy,toy_only,Schreier independent pairing,negative control only,no,toy_only
