L,variant,weight_scheme,n_power,coefficient_order,aggregate_coefficient,tv_stratum,m7_bound_proxy,weighted_stratum_bound_proxy,empirical_ratio,notes
1,all_conflict_free,weight_unweighted,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,all_conflict_free,weight_unweighted,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_length_inverse,0,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_length_inverse,0,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_length_inverse,0,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_length_inverse,0,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_unweighted,0,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_unweighted,0,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_unweighted,0,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,diagonal_cyclic_only,weight_unweighted,0,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,3,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_length_inverse,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_length_inverse,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_length_inverse,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_length_inverse,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_unweighted,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_unweighted,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_unweighted,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,rank_two_noncyclic_remainder,weight_unweighted,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,1,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,3,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,4,0,2.94303552937,1,2.94303552937,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_length_inverse,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,1,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,3,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
1,signed_diagonal_subtracted_proxy,weight_unweighted,1,4,0,8,1,8,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,4,11.7721421175,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,16,47.0885684699,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,64,188.35427388,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,256,753.417095519,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,1,1,-1.08268226589,7.59580035764,4,30.3832014306,0.035634239149,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,1,2,-1.08268226589,7.59580035764,16,121.532805722,0.00890855978726,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,1,3,-1.08268226589,7.59580035764,64,486.131222889,0.00222713994681,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_exp_decay_theta_0_5,1,4,-1.08268226589,7.59580035764,256,1944.52489156,0.000556784986704,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,0,1,0,8,4,32,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,0,2,0,8,16,128,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,0,3,0,8,64,512,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,0,4,0,8,256,2048,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,1,1,-2,18,4,72,0.0277777777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,1,2,-2,18,16,288,0.00694444444444,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,1,3,-2,18,64,1152,0.00173611111111,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_length_inverse,1,4,-2,18,256,4608,0.000434027777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,0,1,0,8,4,32,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,0,2,0,8,16,128,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,0,3,0,8,64,512,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,0,4,0,8,256,2048,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,1,1,-8,32,4,128,0.0625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,1,2,-8,32,16,512,0.015625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,1,3,-8,32,64,2048,0.00390625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,all_conflict_free,weight_unweighted,1,4,-8,32,256,8192,0.0009765625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,4,11.7721421175,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,16,47.0885684699,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,64,188.35427388,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,256,753.417095519,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_length_inverse,0,1,0,8,4,32,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_length_inverse,0,2,0,8,16,128,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_length_inverse,0,3,0,8,64,512,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_length_inverse,0,4,0,8,256,2048,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_unweighted,0,1,0,8,4,32,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_unweighted,0,2,0,8,16,128,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_unweighted,0,3,0,8,64,512,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,diagonal_cyclic_only,weight_unweighted,0,4,0,8,256,2048,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,-1.08268226589,7.59580035764,4,30.3832014306,0.035634239149,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,-1.08268226589,7.59580035764,16,121.532805722,0.00890855978726,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,3,-1.08268226589,7.59580035764,64,486.131222889,0.00222713994681,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,-1.08268226589,7.59580035764,256,1944.52489156,0.000556784986704,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_length_inverse,1,1,-2,18,4,72,0.0277777777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_length_inverse,1,2,-2,18,16,288,0.00694444444444,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_length_inverse,1,3,-2,18,64,1152,0.00173611111111,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_length_inverse,1,4,-2,18,256,4608,0.000434027777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_unweighted,1,1,-8,32,4,128,0.0625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_unweighted,1,2,-8,32,16,512,0.015625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_unweighted,1,3,-8,32,64,2048,0.00390625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,rank_two_noncyclic_remainder,weight_unweighted,1,4,-8,32,256,8192,0.0009765625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,1,-1.08268226589,7.59580035764,4,30.3832014306,0.035634239149,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,2,-1.08268226589,7.59580035764,16,121.532805722,0.00890855978726,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,3,-1.08268226589,7.59580035764,64,486.131222889,0.00222713994681,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_exp_decay_theta_0_5,1,4,-1.08268226589,7.59580035764,256,1944.52489156,0.000556784986704,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,1,-2,18,4,72,0.0277777777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,2,-2,18,16,288,0.00694444444444,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,3,-2,18,64,1152,0.00173611111111,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_length_inverse,1,4,-2,18,256,4608,0.000434027777778,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,1,-8,32,4,128,0.0625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,2,-8,32,16,512,0.015625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,3,-8,32,64,2048,0.00390625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
2,signed_diagonal_subtracted_proxy,weight_unweighted,1,4,-8,32,256,8192,0.0009765625,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,9,26.4873197643,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,81,238.385877879,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,729,2145.47290091,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,6561,19309.2561082,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,1,1,-5.30258840963,11.4728214144,9,103.25539273,0.0513541062549,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,1,2,-4.50599531574,11.4728214144,81,929.298534566,0.00484881353853,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,1,3,-2.91280912797,11.4728214144,729,8363.6868111,0.000348268555932,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_exp_decay_theta_0_5,1,4,0.273563247571,11.4728214144,6561,75273.1812999,3.63427243072e-06,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,0,1,0,8,9,72,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,0,2,0,8,81,648,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,0,3,0,8,729,5832,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,0,4,0,8,6561,52488,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,1,1,-10.8888888889,26.8888888889,9,242,0.0449954086318,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,1,2,-9.11111111111,26.8888888889,81,2178,0.00418324660749,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,1,3,-5.55555555556,26.8888888889,729,19602,0.000283417791835,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_length_inverse,1,4,1.55555555556,26.8888888889,6561,176418,8.81744241268e-06,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,0,1,0,8,9,72,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,0,2,0,8,81,648,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,0,3,0,8,729,5832,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,0,4,0,8,6561,52488,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,1,1,-72,72,9,648,0.111111111111,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,1,2,-56,72,81,5832,0.00960219478738,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,1,3,-24,72,729,52488,0.000457247370828,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,all_conflict_free,weight_unweighted,1,4,40,72,6561,472392,8.46754390422e-05,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,1,0,2.94303552937,9,26.4873197643,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,2,0,2.94303552937,81,238.385877879,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,3,0,2.94303552937,729,2145.47290091,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_exp_decay_theta_0_5,0,4,0,2.94303552937,6561,19309.2561082,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_length_inverse,0,1,0,8,9,72,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_length_inverse,0,2,0,8,81,648,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_length_inverse,0,3,0,8,729,5832,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_length_inverse,0,4,0,8,6561,52488,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_unweighted,0,1,0,8,9,72,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_unweighted,0,2,0,8,81,648,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_unweighted,0,3,0,8,729,5832,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,diagonal_cyclic_only,weight_unweighted,0,4,0,8,6561,52488,0,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,1,-5.30258840963,11.4728214144,9,103.25539273,0.0513541062549,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,2,-4.50599531574,11.4728214144,81,929.298534566,0.00484881353853,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,3,-2.91280912797,11.4728214144,729,8363.6868111,0.000348268555932,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_exp_decay_theta_0_5,1,4,0.273563247571,11.4728214144,6561,75273.1812999,3.63427243072e-06,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_length_inverse,1,1,-10.8888888889,26.8888888889,9,242,0.0449954086318,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_length_inverse,1,2,-9.11111111111,26.8888888889,81,2178,0.00418324660749,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
3,rank_two_noncyclic_remainder,weight_length_inverse,1,3,-5.55555555556,26.8888888889,729,19602,0.000283417791835,"ratio uses max(1, L^(2k) TV_{L,d}) to keep zero-TV strata finite"
