family,L,V,constraint_counts,order,coefficient,abs_coefficient,derivative_at_zero,coefficient_l1_norm_order_leq_8,nearest_singularity_scale,normalized_expression_n,description
rank2_balanced_profile,1,1,1;1,5,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,6,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,7,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank2_balanced_profile,1,1,1;1,8,0,0,0,1,,n^(1)*(n)_1/((n)_1*(n)_1),two length-L labels sharing one vertex
rank4_delocalization_toy_s3,1,1,1;1;1;1,0,1,1,1,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,1,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,2,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,3,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,4,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,5,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,6,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,7,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,1,1,1;1;1;1,8,0,0,0,1,,n^(3)*(n)_1/((n)_1*(n)_1*(n)_1*(n)_1),four-label fourth-moment toy profile with fixed deficit s=3
single_label_cycle_profile,2,2,2,0,1,1,1,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,1,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,2,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,3,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,4,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,5,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,6,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,7,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,2,2,2,8,0,0,0,1,,n^(0)*(n)_2/((n)_2),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,2,3,2,0,1,1,1,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,1,-2,2,-2,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,2,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,3,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,4,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,5,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,6,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,7,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,2,3,2,8,0,0,0,3,1/2,n^(-1)*(n)_3/((n)_2),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,2,3,2;2,0,1,1,1,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,1,-1,1,-1,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,2,-1,1,-2,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,3,-1,1,-6,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,4,-1,1,-24,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,5,-1,1,-120,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,6,-1,1,-720,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,7,-1,1,-5040,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_balanced_profile,2,3,2;2,8,-1,1,-40320,9,1/2,n^(1)*(n)_3/((n)_2*(n)_2),two length-L labels sharing one vertex
rank2_deficit_k2,2,2,2;2,0,1,1,1,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,1,1,1,1,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,2,1,1,2,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,3,1,1,6,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,4,1,1,24,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,5,1,1,120,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,6,1,1,720,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,7,1,1,5040,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,2,2,2;2,8,1,1,40320,9,1,n^(2)*(n)_2/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,2,1,2;2,0,1,1,1,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,1,2,2,2,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,2,3,3,6,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,3,4,4,24,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,4,5,5,120,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,5,6,6,720,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,6,7,7,5040,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,7,8,8,40320,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,2,1,2;2,8,9,9,362880,45,1,n^(3)*(n)_1/((n)_2*(n)_2),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,0,1,1,1,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,1,-6,6,-6,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,2,5,5,10,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,3,10,10,60,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,4,9,9,216,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,5,2,2,240,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,6,-11,11,-7920,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,7,-30,30,-151200,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,2,5,2;2;2;2,8,-55,55,-2217600,129,1/4,n^(3)*(n)_5/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,2,4,2;2;2;2,0,1,1,1,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,1,-2,2,-2,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,2,-3,3,-6,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,3,-2,2,-12,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,4,1,1,24,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,5,6,6,720,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,6,13,13,9360,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,7,22,22,110880,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,2,4,2;2;2;2,8,33,33,1330560,83,1/3,n^(4)*(n)_4/((n)_2*(n)_2*(n)_2*(n)_2),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,3,3,3,0,1,1,1,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,1,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,2,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,3,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,4,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,5,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,6,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,7,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,3,3,3,8,0,0,0,1,,n^(0)*(n)_3/((n)_3),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_path_profile,3,4,3,0,1,1,1,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,1,-3,3,-3,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,2,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,3,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,4,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,5,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,6,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,7,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
single_label_path_profile,3,4,3,8,0,0,0,4,1/3,n^(-1)*(n)_4/((n)_3),V=L+1 and one label with L constraints; normalized expectation is exactly 1-L x
rank2_balanced_profile,3,5,3;3,0,1,1,1,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,1,-4,4,-4,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,2,-2,2,-4,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,3,2,2,12,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,4,10,10,240,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,5,26,26,3120,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,6,58,58,41760,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,7,122,122,614880,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_balanced_profile,3,5,3;3,8,250,250,10080000,475,1/4,n^(1)*(n)_5/((n)_3*(n)_3),two length-L labels sharing one vertex
rank2_deficit_k2,3,4,3;3,0,1,1,1,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,1,0,0,0,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,2,-2,2,-4,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,3,-6,6,-36,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,4,-14,14,-336,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,5,-30,30,-3600,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,6,-62,62,-44640,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,7,-126,126,-635040,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k2,3,4,3;3,8,-254,254,-10241280,495,1/3,n^(2)*(n)_4/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=2
rank2_deficit_k3,3,3,3;3,0,1,1,1,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,1,3,3,3,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,2,7,7,14,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,3,15,15,90,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,4,31,31,744,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,5,63,63,7560,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,6,127,127,91440,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,7,255,255,1285200,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank2_deficit_k3,3,3,3;3,8,511,511,20603520,1013,1/2,n^(3)*(n)_3/((n)_3*(n)_3),two length-L labels with fixed vertex deficit k=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,0,1,1,1,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,1,-24,24,-24,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,2,196,196,392,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,3,-516,516,-3096,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,4,-536,536,-12864,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,5,1620,1620,194400,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,6,6112,6112,4400640,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,7,9084,9084,45783360,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s3,3,9,3;3;3;3,8,-2648,2648,-106767360,20737,1/8,n^(3)*(n)_9/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=3
rank4_delocalization_toy_s4,3,8,3;3;3;3,0,1,1,1,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,1,-16,16,-16,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,2,68,68,136,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,3,28,28,168,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,4,-312,312,-7488,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,5,-876,876,-105120,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,6,-896,896,-645120,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,7,1916,1916,9656640,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
rank4_delocalization_toy_s4,3,8,3;3;3;3,8,12680,12680,511257600,16793,1/7,n^(4)*(n)_8/((n)_3*(n)_3*(n)_3*(n)_3),four-label fourth-moment toy profile with fixed deficit s=4
single_label_cycle_profile,4,4,4,0,1,1,1,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,1,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,2,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,3,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,4,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,5,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
single_label_cycle_profile,4,4,4,6,0,0,0,1,,n^(0)*(n)_4/((n)_4),V=L and one label with L constraints; normalized expectation is exactly 1
