node_id	node_type	raw_label	canonical_taxon	attributes_json	source_id	source_provenance_json	allowed_evidence_scope	caveats_json
wild_ancestor:Brassica_nigra_B_genome	wild_ancestor	Brassica nigra (B genome)	Brassica nigra	"{""context_crop"": ""Brassica juncea"", ""vavilov_center"": ""vc:central_asian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""U N. 1935, Jap. J. Bot. 7:389-452 \u2014 Brassica triangle of U""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Gossypium_arboreum_herbaceum_A_genome_lineage	wild_ancestor	Gossypium arboreum/herbaceum (A genome lineage)	Gossypium arboreum/herbaceum	"{""context_crop"": ""Gossypium hirsutum"", ""vavilov_center"": ""vc:south_mexican""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186 \u2014 Polyploidy and the evolutionary history of cotton""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Gossypium_raimondii_D_genome	wild_ancestor	Gossypium raimondii (D genome)	Gossypium raimondii	"{""context_crop"": ""Gossypium hirsutum"", ""vavilov_center"": ""vc:south_mexican""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Wendel J.F. & Cronn R.C. 2003, Adv. Agron. 78:139-186 \u2014 Polyploidy and the evolutionary history of cotton""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Arachis_duranensis_A_genome	wild_ancestor	Arachis duranensis (A genome)	Arachis duranensis	"{""context_crop"": ""Arachis hypogaea"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Bertioli D.J. et al. 2016, Nat. Genet. 48:438-446 \u2014 The genome sequences of Arachis duranensis and Arachis ipaensis""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Arachis_ipaensis_B_genome	wild_ancestor	Arachis ipaensis (B genome)	Arachis ipaensis	"{""context_crop"": ""Arachis hypogaea"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Bertioli D.J. et al. 2016, Nat. Genet. 48:438-446 \u2014 The genome sequences of Arachis duranensis and Arachis ipaensis""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Coffea_canephora	wild_ancestor	Coffea canephora	Coffea canephora	"{""context_crop"": ""Coffea arabica"", ""vavilov_center"": ""vc:abyssinian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Lashermes P. et al. 1999, Mol. Gen. Genet. 261:259-266 \u2014 Molecular characterisation and origin of the Coffea arabica L. genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Coffea_eugenioides	wild_ancestor	Coffea eugenioides	Coffea eugenioides	"{""context_crop"": ""Coffea arabica"", ""vavilov_center"": ""vc:abyssinian""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Lashermes P. et al. 1999, Mol. Gen. Genet. 261:259-266 \u2014 Molecular characterisation and origin of the Coffea arabica L. genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Nicotiana_sylvestris_S_genome	wild_ancestor	Nicotiana sylvestris (S genome)	Nicotiana sylvestris	"{""context_crop"": ""Nicotiana tabacum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Ren N. & Timko M.P. 2001, Genome 44:559-571""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Nicotiana_tomentosiformis_T_genome	wild_ancestor	Nicotiana tomentosiformis (T genome)	Nicotiana tomentosiformis	"{""context_crop"": ""Nicotiana tabacum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Ren N. & Timko M.P. 2001, Genome 44:559-571""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Fragaria_chiloensis_octoploid	wild_ancestor	Fragaria chiloensis (octoploid)	Fragaria chiloensis	"{""context_crop"": ""Fragaria x ananassa"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Edger P.P. et al. 2019, Nat. Genet. 51:541-547 \u2014 Origin and evolution of the octoploid strawberry genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Fragaria_virginiana_octoploid	wild_ancestor	Fragaria virginiana (octoploid)	Fragaria virginiana	"{""context_crop"": ""Fragaria x ananassa"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Edger P.P. et al. 2019, Nat. Genet. 51:541-547 \u2014 Origin and evolution of the octoploid strawberry genome""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Manihot_esculenta_subsp._flabellifolia_wild_progenitor	wild_ancestor	Manihot esculenta subsp. flabellifolia (wild progenitor)	Manihot esculenta subsp. flabellifolia	"{""context_crop"": ""Manihot esculenta"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Olsen K.M. & Schaal B.A. 1999, PNAS 96:5586-5591 \u2014 Evidence on the origin of cassava""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Solanum_brevicaule_complex_wild_progenitors	wild_ancestor	Solanum brevicaule complex (wild progenitors)	Solanum brevicaule complex	"{""context_crop"": ""Solanum tuberosum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Spooner D.M. et al. 2005, PNAS 102:14694-14699 \u2014 A single domestication for potato based on multilocus AFLP genotyping""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Solanum_maglia	wild_ancestor	Solanum maglia	Solanum maglia	"{""context_crop"": ""Solanum tuberosum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Spooner D.M. et al. 2005, PNAS 102:14694-14699 \u2014 A single domestication for potato based on multilocus AFLP genotyping""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Solanum_bukasovii	wild_ancestor	Solanum bukasovii	Solanum bukasovii	"{""context_crop"": ""Solanum tuberosum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Spooner D.M. et al. 2005, PNAS 102:14694-14699 \u2014 A single domestication for potato based on multilocus AFLP genotyping""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Solanum_lycopersicum_var._cerasiforme	wild_ancestor	Solanum lycopersicum var. cerasiforme	Solanum lycopersicum var. cerasiforme	"{""context_crop"": ""Solanum lycopersicum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Razifard H. et al. 2020, Mol. Biol. Evol. 37:1118-1132 \u2014 Genomic evidence for complex domestication history of tomato""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Solanum_pimpinellifolium	wild_ancestor	Solanum pimpinellifolium	Solanum pimpinellifolium	"{""context_crop"": ""Solanum lycopersicum"", ""vavilov_center"": ""vc:south_american""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Razifard H. et al. 2020, Mol. Biol. Evol. 37:1118-1132 \u2014 Genomic evidence for complex domestication history of tomato""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Capsicum_annuum_var._glabriusculum_wild_bird_pepper	wild_ancestor	Capsicum annuum var. glabriusculum (wild bird pepper)	Capsicum annuum var. glabriusculum	"{""context_crop"": ""Capsicum annuum"", ""vavilov_center"": ""vc:south_mexican""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Kraft K.H. et al. 2014, PNAS 111:6165-6170""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Glycine_soja	wild_ancestor	Glycine soja	Glycine soja	"{""context_crop"": ""Glycine max"", ""vavilov_center"": ""vc:chinese""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Carter T.E. et al. 2004, in Soybeans: Improvement, Production, and Uses ASA-CSSA-SSSA""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Phaseolus_vulgaris_wild_Andean_gene_pool	wild_ancestor	Phaseolus vulgaris wild Andean gene pool	Phaseolus vulgaris wild Andean gene pool	"{""context_crop"": ""Phaseolus vulgaris"", ""vavilov_center"": ""vc:south_mexican""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Bitocchi E. et al. 2013, New Phytol. 197:300-313 \u2014 Mesoamerican origin of the common bean""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Phaseolus_vulgaris_wild_Mesoamerican_gene_pool	wild_ancestor	Phaseolus vulgaris wild Mesoamerican gene pool	Phaseolus vulgaris wild Mesoamerican gene pool	"{""context_crop"": ""Phaseolus vulgaris"", ""vavilov_center"": ""vc:south_mexican""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Bitocchi E. et al. 2013, New Phytol. 197:300-313 \u2014 Mesoamerican origin of the common bean""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Cicer_reticulatum_wild_progenitor	wild_ancestor	Cicer reticulatum (wild progenitor)	Cicer reticulatum	"{""context_crop"": ""Cicer arietinum"", ""vavilov_center"": ""vc:near_eastern""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Varshney R.K. et al. 2013, Nat. Biotechnol. 31:240-246; Singh K.B. 1997 Field Crops Res. 53:161-170""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
wild_ancestor:Cicer_echinospermum_introgression	wild_ancestor	Cicer echinospermum (introgression)	Cicer echinospermum	"{""context_crop"": ""Cicer arietinum"", ""vavilov_center"": ""vc:near_eastern""}"	curated_breeder_pedigree_literature	"{""source_id"": ""curated_breeder_pedigree_literature"", ""source_name"": ""Curated peer-reviewed breeder-pedigree literature"", ""source_version_or_release"": ""extracted 2026-05-17"", ""access_date"": ""2026-05-17"", ""license"": ""Mixed (per primary paper); factual extracted rows only"", ""attribution"": ""Compilation of peer-reviewed primary references; one citation per crop_pedigree row"", ""source_reliability"": 0.85, ""primary_citation"": ""Varshney R.K. et al. 2013, Nat. Biotechnol. 31:240-246; Singh K.B. 1997 Field Crops Res. 53:161-170""}"	supports 'this taxon is the cited wild progenitor of crop X'; does not support new taxonomy	"{""confidence_tier"": ""A""}"
