candidate_id	raw_scientific_name	accepted_taxon_key	candidate_status	candidate_score	modern_failure_support	morphology_support	candidate_class	primary_citation_short	interpretation_caveat	ambiguity_flag	modern_failure_evidence_status	evidence_queue_action	inferred_anachronism_claim	enters_master_prediction_ledger
T2C0029	Hymenaea courbaril		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0022	Mauritia flexuosa		data_limited	0.55	0.0	1.0	amazonian_palm_or_ground_sloth_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0030	Mauritia flexuosa		data_limited	0.55	0.0	1.0	amazonian_palm_or_ground_sloth_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0010	Persea americana		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Janzen&Martin1982	hypothesis per Janzen D.H., Martin P.S. (Janzen&Martin1982); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0031	Persea americana		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0008	Pithecellobium dulce		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0014	Pseudopanax crassifolius		data_limited	0.55	0.0	1.0	new_zealand_moa_divarication	Greenwood&Atkinson1977	hypothesis per Greenwood R.M., Atkinson I.A.E. (Greenwood&Atkinson1977); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0015	Pseudopanax crassifolius		data_limited	0.55	0.0	1.0	new_zealand_moa_divarication	Greenwood&Atkinson1977	hypothesis per Greenwood R.M., Atkinson I.A.E. (Greenwood&Atkinson1977); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0026	Spondias mombin		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
T2C0007	Spondias purpurea		data_limited	0.55	0.0	1.0	neotropical_gomphothere_large_fruit	Guimaraes2008	hypothesis per Guimarães P.R. Jr. et al. (Guimaraes2008); NOT established anachronism. This edge supports the hypothesis that the fruit syndrome fits the named extinct disperser; it does NOT support established anachronism status without independent paleobotany.	source_singleton	needs_independent_modern_failure_check	targeted literature check required; morphology-only support remains capped	False	False
